"","mu_col[, 1]"
"162",2.76803195852129
"163",2.77377363024069
"164",2.77396914064387
"165",2.82511248591791
"166",2.80051612643613
"167",2.79243729307656
"168",2.79487206917347
"169",2.76938944488914
"170",2.822444252169
"171",2.73987709276245
"172",2.79455572406498
"173",2.75490552417298
"174",2.7810985176888
"175",2.77745707901781
"176",2.79879090470063
"177",2.74433694416543
"178",2.76887762912707
"179",2.82192199240132
"180",2.75287777534775
"181",2.73532283031277
"182",2.791296304959
"183",2.77626020615461
"184",2.78201390106543
"185",2.80906516866474
"186",2.75727173185017
"187",2.81251110466119
"188",2.75729730797493
"189",2.78256211129796
"190",2.78658253622914
"191",2.75092154930134
"192",2.77509035971593
"193",2.78005802007019
"194",2.74106843388593
"195",2.83189308615205
"196",2.78292914432628
"197",2.76807208868711
"198",2.85258277727608
"199",2.74799584281179
"200",2.79988331318076
"201",2.75708814054828
"202",2.84480842300153
"203",2.73779956137799
"204",2.81737968063893
"205",2.78297833075953
"206",2.83281787066297
"207",2.75385625849704
"208",2.76482052713257
"209",2.80569225165684
"210",2.82950241200053
"211",2.80506205486652
"212",2.78394600198477
"213",2.83246320044899
"214",2.83977991583178
"215",2.70883081447143
"216",2.80828495872586
"217",2.8074234494672
"218",2.74541256979372
"219",2.81609202878876
"220",2.75963513282494
"221",2.79360357110898
"222",2.78302264987765
"223",2.75787249831306
"224",2.752378438442
"225",2.83423190458153
"226",2.79002922362628
"227",2.80972684832554
"228",2.7775759267992
"229",2.76780746553505
"230",2.80979042087063
"231",2.790034929212
"232",2.82198904137969
"233",2.79899911172815
"234",2.76871854619197
"235",2.84570730727379
"236",2.73171393227284
"237",2.80380395669427
"238",2.77511628828252
"239",2.78920640519627
"240",2.81732248728065
"241",2.77086122072412
"242",2.78167474941707
"243",2.7604965171801
"244",2.81039678836168
"245",2.71916285770377
"246",2.80609279539815
"247",2.76618094933586
"248",2.73615120924064
"249",2.81111750336398
"250",2.74400564244159
"251",2.84618799717324
"252",2.82356591307313
"253",2.79914440073068
"254",2.72904130130704
"255",2.81139429832424
"256",2.75303058060228
"257",2.74207240940155
"258",2.80355041720735
"259",2.7436356901833
"260",2.77433942141871
"261",2.76820342239318
"262",2.83091788418407
"263",2.80637035133187
"264",2.7896317344399
"265",2.79111875100591
"266",2.71252247749846
"267",2.84220209835889
"268",2.752623350647
"269",2.79850231877744
"270",2.81960329809662
"271",2.79923435270097
"272",2.78755260697766
"273",2.775474956909
"274",2.77997698489459
"275",2.82211602557268
"276",2.83251522793777
"277",2.80679653068685
"278",2.80072999082372
"279",2.82611504720827
"280",2.80154708230313
"281",2.82827962523214
"282",2.77649025498832
"283",2.8107768271463
"284",2.80580947608555
"285",2.79792366782113
"286",2.81423405855493
"287",2.8141500433349
"288",2.79660631065686
"289",2.81336396683515
"290",2.76752283944616
"291",2.78249576313428
"292",2.82014767102849
"293",2.73468679047439
"294",2.85374314748145
"295",2.73906617068375
"296",2.77369546321789
"297",2.73758314234414
"298",2.8623002826991
"299",2.74936466684426
"300",2.8531736977134
"301",2.74107881641544
"302",2.78480562450773
"303",2.75104700924378
"304",2.8096634304243
"305",2.81454331106002
"306",2.78512215153386
"307",2.80487116763833
"308",2.79190912521006
"309",2.79342710908781
"310",2.80263100125729
"311",2.75564081574727
"312",2.81815802296317
"313",2.75235690852505
"314",2.85427051122945
"315",2.82629788378353
"316",2.76782498515962
"317",2.79896313182745
"318",2.7951323432408
"319",2.75067777715653
"320",2.78828675440893
"321",2.81260379945796
"322",2.78478464151926
"323",2.80490260583527
"324",2.7692793143996
"325",2.81543018118867
"326",2.77880556651602
"327",2.79286025587733
"328",2.81322593981843
"329",2.78767681407933
"330",2.78588822805238
"331",2.78424498576865
"332",2.80443697524426
"333",2.77838899406176
"334",2.80603965619695
"335",2.79186249087948
"336",2.78054960433373
"337",2.83159856931277
"338",2.77043678215346
"339",2.79879220246868
"340",2.728293120038
"341",2.78642918411253
"342",2.79311332350167
"343",2.79267332890674
"344",2.80717204860089
"345",2.80693970601521
"346",2.77864830361568
"347",2.82296755184713
"348",2.78173493114469
"349",2.766986744127
"350",2.83638705584232
"351",2.74248553270047
"352",2.77963771271369
"353",2.81760772264122
"354",2.81994481697047
"355",2.8042787952854
"356",2.79960785161741
"357",2.75060426218061
"358",2.82611988711881
"359",2.80620802033223
"360",2.83229046295881
"361",2.78834366340372
"362",2.81562385053988
"363",2.74111465486408
"364",2.7787275864374
"365",2.72021438508458
"366",2.81001967812143
"367",2.81845782631081
"368",2.72317352585722
"369",2.87345222923816
"370",2.81626410904955
"371",2.82093523493001
"372",2.76647900370174
"373",2.76955807486657
"374",2.78276312904863
"375",2.77923787544286
"376",2.83150089557495
"377",2.755444876794
"378",2.80217887501767
"379",2.74948141572771
"380",2.8063172893507
"381",2.72481670530756
"382",2.84322546863268
"383",2.75482789046413
"384",2.84052106856264
"385",2.78467500729194
"386",2.78898293950956
"387",2.80282853306612
"388",2.78230331906228
"389",2.82948817563985
"390",2.79946868008324
"391",2.81514164074307
"392",2.79846682835417
"393",2.7583286266824
"394",2.85692804472315
"395",2.80686669666244
"396",2.76664342310002
"397",2.77889556726478
"398",2.81429872569709
"399",2.81759899289325
"400",2.78512833419558
"401",2.7834533970458
"402",2.79347946621589
"403",2.78785618886644
"404",2.78172270625208
"405",2.80660860304947
"406",2.74690660609402
"407",2.82757631945736
"408",2.7460639612843
"409",2.80132537663408
"410",2.78922294976007
"411",2.79157361328559
"412",2.81094913332189
"413",2.73186849410897
"414",2.78886827651226
"415",2.79018773399608
"416",2.76020130298978
"417",2.81173959458853
"418",2.78014170046281
"419",2.85118793437522
"420",2.72846566089099
"421",2.79652135626876
"422",2.78882843621689
"423",2.80298342384606
"424",2.7765091555223
"425",2.82915083415927
"426",2.77240886463378
"427",2.8504397480688
"428",2.73712022986489
"429",2.84602485678344
"430",2.76665240219918
"431",2.85068475241623
"432",2.78447907329013
"433",2.79894821271597
"434",2.8013561528629
"435",2.75706654055768
"436",2.77932166167155
"437",2.84018910351378
"438",2.77814807952363
"439",2.77040031667283
"440",2.76839961422432
"441",2.80175025983423
"442",2.78570915402468
"443",2.80638654232153
"444",2.77859415884256
"445",2.82237929995898
"446",2.75736131759721
"447",2.86545489048471
"448",2.78681284472269
"449",2.76757233300289
"450",2.80831499194437
"451",2.79828528465163
"452",2.74600407552425
"453",2.7619726042663
"454",2.81108058332702
"455",2.7662597968398
"456",2.8147631449224
"457",2.72258670726727
"458",2.86650935596715
"459",2.75122395931162
"460",2.8516652447388
"461",2.79788999595953
"462",2.86234845769673
"463",2.7754508419143
"464",2.82530190745197
"465",2.84549520502723
"466",2.78859763241018
"467",2.79010982312118
"468",2.83419560374863
"469",2.76580944806372
"470",2.8335034893866
"471",2.81572940862547
"472",2.81240929628585
"473",2.86550677297264
"474",2.76402761050578
"475",2.84683172019471
"476",2.83204548585431
"477",2.77570746969925
"478",2.81524276113611
"479",2.77108071793033
"480",2.82332768657878
"481",2.81485787851532
"482",2.79720512701824
"483",2.72952826371617
"484",2.78388331645109
"485",2.77098500656504
"486",2.8500921601532
"487",2.74592979714052
"488",2.81210162894168
"489",2.76626635943944
"490",2.76362058553119
"491",2.80322656606537
"492",2.77487354810359
"493",2.80192626400301
"494",2.75269968345143
"495",2.79015100969914
"496",2.79081168225492
"497",2.81027003151757
"498",2.75938833945353
"499",2.84664556541215
"500",2.77765003905382
"501",2.82764345178756
"502",2.73539004268708
"503",2.78581890722282
"504",2.79723981559639
"505",2.7756475954569
"506",2.80669617619158
"507",2.75665511245568
"508",2.81627182140846
