"","sigma_col[, 1]"
"105",-0.285169867319207
"106",-0.277419027102401
"107",-0.263740128209239
"108",-0.274446516613718
"109",-0.258203563214745
"110",-0.311572048376492
"111",-0.220671203095327
"112",-0.191142326113226
"113",-0.325729063668897
"114",-0.216992324909426
"115",-0.292178670531852
"116",-0.308118129576835
"117",-0.279328881351282
"118",-0.226039754535806
"119",-0.307612095520953
"120",-0.201973730956404
"121",-0.248450891240439
"122",-0.209810255214264
"123",-0.233999545894042
"124",-0.291118295911096
"125",-0.251617701815808
"126",-0.224287891126358
"127",-0.252493737606883
"128",-0.275276432703476
"129",-0.242338572407212
"130",-0.267825136863185
"131",-0.268420876958768
"132",-0.265590738843269
"133",-0.255284265597065
"134",-0.257008959134189
"135",-0.24170376351085
"136",-0.274613041252065
"137",-0.279624321798488
"138",-0.286700144991747
"139",-0.264131134604435
"140",-0.342645461086619
"141",-0.249312592033135
"142",-0.344044756856206
"143",-0.270992120537715
"144",-0.274878158019162
"145",-0.252614500095371
"146",-0.284480345919375
"147",-0.256560419870609
"148",-0.273730499289171
"149",-0.259373156124812
"150",-0.29481923675376
"151",-0.290243031370466
"152",-0.253837364739641
"153",-0.274932486211629
"154",-0.284873018758342
"155",-0.239790285871504
"156",-0.215960126824597
"157",-0.227644317718693
"158",-0.235703146474257
"159",-0.225206709146299
"160",-0.263065644840718
"161",-0.235603907742746
"162",-0.290568727941237
"163",-0.297339290714388
"164",-0.265680666267433
"165",-0.252606184523368
"166",-0.235967591816684
"167",-0.281237817612921
"168",-0.263708970687182
"169",-0.312316252548368
"170",-0.244719045978451
"171",-0.353539194073722
"172",-0.30011588188829
"173",-0.291841777675492
"174",-0.31841112712529
"175",-0.271136490445094
"176",-0.29561331847512
"177",-0.32006906323532
"178",-0.316911619189132
"179",-0.258056179623206
"180",-0.333895606652611
"181",-0.344657598341492
"182",-0.285096767193752
"183",-0.308043919978877
"184",-0.287531647995993
"185",-0.266445701363547
"186",-0.280143885818012
"187",-0.280565378572286
"188",-0.293366034820208
"189",-0.296952630784096
"190",-0.300811681467085
"191",-0.330770754141883
"192",-0.283328573747155
"193",-0.321238055324493
"194",-0.376069330646269
"195",-0.241541958064468
"196",-0.276004686548008
"197",-0.292560480583265
"198",-0.229053687585631
"199",-0.290825673173426
"200",-0.270864204354929
"201",-0.299419636589004
"202",-0.246973397505936
"203",-0.311846117068928
"204",-0.252485363270042
"205",-0.245039739076461
"206",-0.23709834583394
"207",-0.309163440670975
"208",-0.303494555268534
"209",-0.220740841690324
"210",-0.224002972767532
"211",-0.21270978495173
"212",-0.26679648122266
"213",-0.184686978708483
"214",-0.199155465781737
"215",-0.323177163128077
"216",-0.25245156527363
"217",-0.259533806390812
"218",-0.28558173435437
"219",-0.271106633595421
"220",-0.312959337576509
"221",-0.295084875989117
"222",-0.24866782249243
"223",-0.32868776058254
"224",-0.329376779220589
"225",-0.192675745743672
"226",-0.308792044381114
"227",-0.254796835631395
"228",-0.263441780956584
"229",-0.318051666616712
"230",-0.218927283743929
"231",-0.269013560522352
"232",-0.207573411345668
"233",-0.25231409270439
"234",-0.232841281640217
"235",-0.227223026321406
"236",-0.321784093109188
"237",-0.237062041522369
"238",-0.298113504588966
"239",-0.263865051546712
"240",-0.265894576151268
"241",-0.315537413602658
"242",-0.304083426055739
"243",-0.345505597408067
"244",-0.246465752950107
"245",-0.383281184448295
"246",-0.251490261948295
"247",-0.300405014609295
"248",-0.336168240694875
"249",-0.267007492103827
"250",-0.301758289176224
"251",-0.241755013510433
"252",-0.296614309249723
"253",-0.294421849742086
"254",-0.342369736536472
"255",-0.23687727149689
"256",-0.356210578913543
"257",-0.356778725862914
"258",-0.260456020980457
"259",-0.313648433142007
"260",-0.230616282390004
"261",-0.263423828385943
"262",-0.284314825979635
"263",-0.276309235218844
"264",-0.290450003678524
"265",-0.263084486201838
"266",-0.326486056417856
"267",-0.202579363184457
"268",-0.292970532485022
"269",-0.26192175370354
"270",-0.234751294896319
